SNo,ScripCode,NameOfCompany
228,541143,Bharat Dynamics Limited
229,533023,ZF Commercial Vehicle Control Systems India Limited
230,517569,KEI Industries Ltd.
231,539268,Syngene International Limited
232,543498,Motherson Sumi Wiring India Limited
233,523610,ITI Limited (Indian Teleph.Ind.Ltd)
234,500086,"Exide Industries Ltd.,"
235,501301,"Tata Investment Corporation Ltd.,"
236,532889,K.P.R. Mill Ltd.
237,543463,Vedant Fashions Limited
238,500770,Tata Chemicals Ltd
239,532331,Ajanta Pharma Ltd.
240,500164,Godrej Industries Ltd.
241,543235,ANGEL ONE LIMITED
242,540153,Endurance Technologies Limited
243,532733,SUN TV NETWORK LIMITED
244,539551,Narayana Hrudayalaya Limited
245,543187,HITACHI ENERGY INDIA LIMITED
246,532234,"National Aluminium Co. Ltd.,"
247,541770,CreditAccess Grameen Ltd.
248,532296,Glenmark Pharmaceuticals ltd
249,506943,J.B. Chemicals & Pharmaceuticals Lt
250,500165,Kansai Nerolac Paints
251,506285,Bayer CropScience Limited.
252,500403,"Sundram Fasteners Ltd.,"
253,513599,Hindustan Copper Ltd.
254,531531,Hatsun Agro Products Ltd.
255,532259,Apar Industries Ltd
256,540680,KIOCL Limited
257,541179,ICICI Securities Limited
258,506076,Grindwell Norton Ltd.
259,542772,360 ONE WAM LIMITED
260,500067,Blue Star Ltd
261,532892,Motilal Oswal Financial Services Limited
262,524208,Aarti Industries Ltd
263,522113,Timken India Ltd
264,500472,SKF India Ltd.
265,532175,Cyient Limited
266,520111,Ratnamani Metals & Tubes Ltd
267,513375,"Carborundum Universal Ltd.,"
268,535755,Aditya Birla Fashion and Retail Limited
269,500260,The Ramco Cements Limited
270,540222,Laurus Labs Limited
271,530517,Relaxo Footwears Ltd.
272,532497,Radico Khaitan Ltd.
273,531162,Emami Ltd
274,543663,Five-Star Business Finance Ltd.
275,500840,EIH Ltd
276,507815,Gillette India Ltd.
277,540678,Cochin Shipyard Limited
278,532636,IIFL FINANCE LIMITED
279,532929,Brigade Enterprises Limited
280,500302,Piramal Enterprises Limited
281,540975,Aster DM Healthcare Limited
282,543330,Devyani International Limited
283,532221,Sonata Software Ltd.
284,500233,Kajaria Ceramics Ltd
285,521064,Trident Ltd
286,539524,Dr. Lal Pathlabs Limited
287,532605,JBM Auto Limited
288,504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
289,532400,BIRLASOFT LIMITED
290,505537,Zee Entertainment Enterprises Ltd.
291,540173,PNB Housing Finance Limited
292,500680,"Pfizer Ltd.,"
293,542920,SUMITOMO CHEMICAL INDIA LIMITED
294,500043,Bata India Limited
295,534309,NBCC (India) Limited
296,500674,Sanofi India Ltd
297,532659,IDFC LIMITED
298,541956,IRCON International Ltd
299,500027,"Atul Limited.,"
300,539876,Crompton Greaves Consumer Electricals Limited
301,532702,Gujarat State Petronet Ltd.
302,522074,"Elgi Equipments Ltd.,"
303,532756,CIE Automotive India Limited
304,500870,Castrol India Ltd
305,531595,Capri Global Capital Limited
306,522275,GE T&D India Limited
307,500238,Whirlpool of India Ltd
308,533573,ALEMBIC PHARMACEUTICALS LIMITED
309,544012,Cello World Limited
310,543635,PIRAMAL PHARMA LIMITED
311,543981,R R KABEL LIMITED
312,524200,"Vinati Organics Ltd.,"
313,532371,Tata Teleservices (Maharashtra) Ltd.
314,534091,Multi Commodity Exchange of India Ltd
315,532504,Navin Fluorine International Limited
316,532926,JYOTHY LABS LIMITED
317,532714,KEC International Ltd.
318,543064,SUVEN PHARMACEUTICALS LIMITED
319,543664,KAYNES TECHNOLOGY INDIA LIMITED
320,500084,"CESC Limited,"
321,543335,Aptus Value Housing Finance India Limited
322,543308,Krishna Institute of Medical Sciences Limited
323,503310,Swan Energy Ltd.
324,543299,Shyam Metalics and Energy Limited
325,543768,NMDC Steel Limited
326,542726,IndiaMART InterMESH Limited
327,500040,"Century Textiles & Industries Ltd.,"
328,542752,Affle (India) Limited
329,524816,Natco Pharma Ltd.
330,520056,TVS Holdings Limited
331,532548,Century Plyboards (India) Ltd.
332,526612,Blue Dart Express Ltd.
333,540065,RBL Bank Limited
334,523367,DCM Shriram Limited
335,500144,"Finolex Cables Ltd.,"
336,542399,Chalet Hotels Limited
337,500378,Jindal Saw Ltd.
338,543990,SIGNATUREGLOBAL (INDIA) LIMITED
339,500252,"Lakshmi Machine Works Ltd.,"
340,539083,Inox Wind Limited
341,543318,Clean Science and Technology Limited
342,543960,Concord Biotech Limited
343,532689,PVR INOX LIMITED
344,514162,WELSPUN LIVING LIMITED
345,500085,Chambal Fertilisers & Chemicals Ltd
346,532805,Redington Limited
347,500184,Himadri Speciality Chemical Ltd.
348,531213,Manappuram Finance Limited
349,531768,Poly Medicure Ltd
350,533272,JUPITER WAGONS LIMITED
351,544081,Jyoti CNC Automation Limited
352,541556,RITES Limited
353,532976,Jai Balaji Industries Limited
354,533655,Triveni Turbine Limited
355,532144,Welspun Corp Limited
356,534076,RHI MAGNESITA INDIA LIMITED
357,543232,Computer Age Management Services Limited
358,500008,Amara Raja Energy & Mobility Limited
359,532209,Jammu and Kashmir Bank Ltd.
360,539177,Authum Investment & Infrastructure Limited
361,522287,KALPATARU PROJECTS INTERNATIONAL LIMITED
362,500003,Aegis Logistics Ltd.
363,500620,"Great Eastern Shipping Co. Ltd.,"
364,500940,Finolex Industries Ltd.
365,543374,Aditya Birla Sun Life AMC Limited
366,543988,Nuvama Wealth Management Limited
367,540073,BLS International Services Ltd
368,540595,Tejas Networks Limited
369,500042,BASF India Ltd
370,541557,Fine Organic Industries Limited
371,515030,Asahi India Glass Ltd.
372,532953,V-Guard Industries Ltd.
373,543653,Bikaji Foods International Limited
374,506820,AstraZeneca Pharma India Ltd.
375,544014,Honasa Consumer Limited
376,532809,Firstsource Solutions Ltd.
377,532790,TANLA PLATFORMS LIMITED
378,532439,OLECTRA GREENTECH LIMITED
379,500163,"Godfrey Phillips India Ltd.,"
380,540750,Indian Energy Exchange Limited
381,521070,Alok Industries Ltd.
382,532527,ramkrishna forgings Ltd.
383,543415,Anand Rathi Wealth Limited
384,532181,Gujarat Mineral Development Corpora
385,500294,NCC Limited
386,532762,Action Construction Equipments Ltd.
387,543227,Happiest Minds Technologies Limited
388,532966,TITAGARH RAIL SYSTEMS LIMITED
389,539957,Mahanagar Gas Limited
390,505533,WESTLIFE FOODWORLD LIMITED
391,504067,Zensar Technologies Ltd.
392,500249,KSB LIMITED
393,500183,HFCL LIMITED
394,517271,HBL Power Systems Ltd.
395,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
396,500265,Maharashtra Seamless Ltd.
397,538835,INTELLECT DESIGN ARENA LIMITED
398,500048,BEML Ltd
399,543334,Nuvoco Vistas Corporation Limited
400,543428,Data Patterns (India) Limited
401,543524,Rainbow Children's Medicare Limited
402,532927,eClerx Services Limited
403,532784,Sobha Limited
404,540596,Eris Lifesciences Limited
405,502986,Vardhman Textiles Limted
406,500110,Chennai Petroleum Corporation Ltd.
407,540902,Amber Enterprises India Limited
408,500330,Raymond Limited
409,540203,Sheela Foam Limited
410,541988,AAVAS Financiers Limited
411,543317,G R Infraprojects Limited
412,500710,Akzo Nobel India Limited
413,500031,"Bajaj Electricals Ltd.,"
414,500405,Supreme Petrochem Ltd.
415,535789,INDIABULLS HOUSING FINANCE LIMITED
416,543243,Equitas Small Finance Bank Limited
417,543534,Aether Industries Limited
418,500335,Birla Corporation Ltd.
419,506767,"Alkyl Amines Chemicals Ltd.,"
420,543265,RailTel Corporation of India Limited
421,532627,Jaiprakash Power Ventures Limited
422,509488,Graphite India Ltd.
423,543238,UTI Asset Management Company Limited
424,505700,"Elecon Engineering Co.Ltd.,"
425,532178,Engineers India Ltd.
426,501425,"Bombay Burmah Trading Corpn. Ltd.,"
427,542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED
428,530007,JK Tyre & Industries Ltd.
429,533293,Kirloskar Oil Engines Limited
430,532872,Sun Pharma Advanced Research Company Ltd.
431,542904,Ujjivan Small Finance Bank Limited
432,532210,City Union Bank Ltd
433,543425,C.E. Info Systems Limited
434,500670,Gujarat Narmada Valley Fert.Co.Ltd
435,534597,RATTANINDIA ENTERPRISES LIMITED
436,540900,Newgen Software Technologies Limited
437,544129,Juniper Hotels Limited
438,500210,Ingersoll-Rand (India) Ltd.
439,517506,TTK Prestige Ltd.
440,515055,Anant Raj Limited
441,511196,"Can Fin Homes Ltd.,"
442,541233,Lemon Tree Hotels Limited
443,543275,Anupam Rasayan India Limited
444,524742,Caplin Point Laboratories Ltd.
445,532443,Cera Sanitaryware Ltd.
446,506590,PCBL LIMITED
447,513377,"MMTC Ltd.,"
448,531500,Rajesh Exports Ltd.
